Treating Clinician,Number of Patients Seen,Number of Patients Seen Paracetamol,Proportion of Paracetamol ,Hospital,Paracetamol_Percentage(%)
90000999,5,0,0%,Dandenong,0
90002772,9,3,33%,Dandenong,33
90003427,4,0,0%,Dandenong,0
90003514,1,1,100%,Dandenong,100
90003553,1,0,0%,Dandenong,0
90003634,2,0,0%,Dandenong,0
90003943,2,0,0%,Dandenong,0
90004058,2,1,50%,Dandenong,50
90004171,3,0,0%,Dandenong,0
90004289,1,0,0%,Dandenong,0
90004406,1,1,100%,Dandenong,100
90004790,3,0,0%,Dandenong,0
90005035,2,1,50%,Dandenong,50
90005065,1,0,0%,Dandenong,0
90005204,1,0,0%,Dandenong,0
90007275,19,4,21%,Dandenong,21
90008672,8,0,0%,Dandenong,0
90012659,1,0,0%,Dandenong,0
90013900,2,0,0%,Dandenong,0
90015608,6,1,17%,Dandenong,17
90015746,1,0,0%,Dandenong,0
90016143,6,1,17%,Dandenong,17
90017559,2,1,50%,Dandenong,50
90018083,3,1,33%,Dandenong,33
90020817,8,3,38%,Dandenong,38
90021003,4,0,0%,Dandenong,0
90022335,1,0,0%,Dandenong,0
90023171,1,0,0%,Dandenong,0
90024223,9,1,11%,Dandenong,11
90025465,1,1,100%,Dandenong,100
90025727,3,1,33%,Dandenong,33
90028087,2,0,0%,Dandenong,0
90028254,6,0,0%,Dandenong,0
90029255,7,1,14%,Dandenong,14
90029388,3,1,33%,Dandenong,33
90030552,3,1,33%,Dandenong,33
90033366,4,0,0%,Dandenong,0
90033661,4,2,50%,Dandenong,50
90033774,4,1,25%,Dandenong,25
90034329,2,1,50%,Dandenong,50
90035880,3,0,0%,Dandenong,0
90035983,14,1,7%,Dandenong,7
90037850,2,1,50%,Dandenong,50
90039000,5,1,20%,Dandenong,20
90039551,2,0,0%,Dandenong,0
90040184,2,0,0%,Dandenong,0
90040773,5,0,0%,Dandenong,0
90043890,1,0,0%,Dandenong,0
90044868,5,2,40%,Dandenong,40
90047010,6,1,17%,Dandenong,17
90047937,1,0,0%,Dandenong,0
90049188,9,3,33%,Dandenong,33
90051139,14,1,7%,Dandenong,7
90051275,2,1,50%,Dandenong,50
90052916,9,3,33%,Dandenong,33
90053104,3,1,33%,Dandenong,33
90053418,2,0,0%,Dandenong,0
90053715,1,0,0%,Dandenong,0
90054690,8,2,25%,Dandenong,25
90055388,2,1,50%,Dandenong,50
90056621,12,3,25%,Dandenong,25
90057408,8,2,25%,Dandenong,25
90057890,6,0,0%,Dandenong,0
90058786,1,0,0%,Dandenong,0
90059584,3,0,0%,Dandenong,0
90060945,11,0,0%,Dandenong,0
90060950,1,0,0%,Dandenong,0
90063300,1,0,0%,Dandenong,0
90068267,12,4,33%,Dandenong,33
90068451,4,1,25%,Dandenong,25
90071350,6,1,17%,Dandenong,17
90071662,2,0,0%,Dandenong,0
90072373,14,3,21%,Dandenong,21
90074642,1,0,0%,Dandenong,0
90075211,1,0,0%,Dandenong,0
90075767,10,2,20%,Dandenong,20
90076316,5,2,40%,Dandenong,40
90077401,3,1,33%,Dandenong,33
90078140,7,1,14%,Dandenong,14
90080314,2,0,0%,Dandenong,0
90081957,2,0,0%,Dandenong,0
90082317,5,1,20%,Dandenong,20
90082515,13,0,0%,Dandenong,0
90082724,1,0,0%,Dandenong,0
90083180,4,1,25%,Dandenong,25
90083199,11,1,9%,Dandenong,9
90085012,1,0,0%,Dandenong,0
90085273,1,0,0%,Dandenong,0
90086726,5,1,20%,Dandenong,20
90088199,4,1,25%,Dandenong,25
90090296,25,6,24%,Dandenong,24
90091034,5,1,20%,Dandenong,20
90093122,1,0,0%,Dandenong,0
90093189,2,0,0%,Dandenong,0
90097823,7,1,14%,Dandenong,14
90098405,1,0,0%,Dandenong,0
90099752,6,2,33%,Dandenong,33
90099773,5,0,0%,Dandenong,0
90100582,16,2,13%,Dandenong,13
90101219,5,2,40%,Dandenong,40
90102882,3,1,33%,Dandenong,33
90102895,17,3,18%,Dandenong,18
90104011,10,2,20%,Dandenong,20
90104880,3,0,0%,Dandenong,0
90107017,3,1,33%,Dandenong,33
90107765,7,2,29%,Dandenong,29
90109083,15,3,20%,Dandenong,20
90109179,3,0,0%,Dandenong,0
90110166,1,0,0%,Dandenong,0
90111258,8,0,0%,Dandenong,0
90112361,2,0,0%,Dandenong,0
90112515,3,1,33%,Dandenong,33
90112578,3,1,33%,Dandenong,33
90113108,6,1,17%,Dandenong,17
90115923,12,1,8%,Dandenong,8
90116155,5,1,20%,Dandenong,20
90117588,17,3,18%,Dandenong,18
90117635,3,1,33%,Dandenong,33
90118204,6,1,17%,Dandenong,17
90119011,1,0,0%,Dandenong,0
90119742,6,0,0%,Dandenong,0
90119988,5,2,40%,Dandenong,40
90123243,2,2,100%,Dandenong,100
90123255,7,2,29%,Dandenong,29
90123274,8,2,25%,Dandenong,25
90123336,2,0,0%,Dandenong,0
90123339,2,1,50%,Dandenong,50
90124202,10,1,10%,Dandenong,10
90124437,3,1,33%,Dandenong,33
90124438,3,1,33%,Dandenong,33
90124439,6,1,17%,Dandenong,17
90124445,1,0,0%,Dandenong,0
90124446,8,1,13%,Dandenong,13
90124447,10,1,10%,Dandenong,10
90124449,12,1,8%,Dandenong,8
90124457,2,0,0%,Dandenong,0
90124459,2,1,50%,Dandenong,50
90124499,1,0,0%,Dandenong,0
90124515,4,1,25%,Dandenong,25
90124517,9,3,33%,Dandenong,33
90124561,6,2,33%,Dandenong,33
90124565,2,0,0%,Dandenong,0
90124570,2,0,0%,Dandenong,0
90138148,3,0,0%,Dandenong,0
90139416,1,0,0%,Dandenong,0
90140978,8,2,25%,Dandenong,25
90141583,1,0,0%,Dandenong,0
90142799,1,0,0%,Dandenong,0
90142824,1,0,0%,Dandenong,0
90142847,2,1,50%,Dandenong,50
90142849,1,0,0%,Dandenong,0
90142983,2,1,50%,Dandenong,50
90144566,7,1,14%,Dandenong,14
90144627,5,1,20%,Dandenong,20
90144754,1,0,0%,Dandenong,0
90144839,5,2,40%,Dandenong,40
90145198,1,0,0%,Dandenong,0
90145323,5,1,20%,Dandenong,20
90145457,1,0,0%,Dandenong,0
90145469,5,1,20%,Dandenong,20
90145927,10,1,10%,Dandenong,10
90146286,2,0,0%,Dandenong,0
90148374,1,0,0%,Dandenong,0
90153189,5,1,20%,Dandenong,20
90153466,1,0,0%,Dandenong,0
90154371,5,1,20%,Dandenong,20
90156769,6,1,17%,Dandenong,17
90157916,1,0,0%,Dandenong,0
90159883,7,0,0%,Dandenong,0
90160514,1,0,0%,Dandenong,0
90160647,1,0,0%,Dandenong,0
90160650,3,1,33%,Dandenong,33
90160701,1,0,0%,Dandenong,0
90160968,1,0,0%,Dandenong,0
90161059,2,0,0%,Dandenong,0
90161089,2,0,0%,Dandenong,0
90162229,1,0,0%,Dandenong,0
90162772,2,0,0%,Dandenong,0
90164142,2,0,0%,Dandenong,0
90165844,2,1,50%,Dandenong,50
90000541,4,0,0%,Casey,0
90000926,4,1,25%,Casey,25
90000999,5,0,0%,Casey,0
90001660,2,1,50%,Casey,50
